[2018-06-04 20:14:41,602] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:17:58,866] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:17:58,870] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:17:58,876] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:17:58,879] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:17:58,888] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:17:58,943] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:17:58,943] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:17:58,952] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:17:58,952] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:17:59,011] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:17:59,020] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:17:59,078] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:17:59,135] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:17:59,172] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:17:59,222] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:17:59,268] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:17:59,323] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:17:59,382] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:17:59,451] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:17:59,460] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:17:59,468] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:17:59,476] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:18:07,337] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:18:56,539] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:18:57,754] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:18:59,577] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:18:59,590] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:18:59,600] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:18:59,602] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:18:59,608] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:18:59,642] [WARNING] Not Found: /static/admin/js/urlify.js
.js
[2018-06-04 20:18:59,642] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:18:59,652] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:18:59,686] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:18:59,691] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:18:59,721] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:18:59,766] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:18:59,803] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:18:59,845] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:18:59,892] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:18:59,951] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:18:59,993] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:19:00,040] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:19:00,052] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:19:00,061] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:19:00,069] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:19:19,081] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:20:20,586] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:20:23,907] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:20:23,916] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:20:23,926] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:20:23,935] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:20:23,935] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:20:23,949] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:20:23,969] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:20:23,970] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:20:23,978] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:20:23,999] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:20:24,007] [WARNING] Not Found: /static/admin/img/search.svg
